id,priority,created_game_minutes,last_seen_game_minutes,source,summary
1,5,493,493,ai,玩家邀请我跟随他探索这片新世界。
2,4,587,587,ai,玩家让我去河边等他，我移动到河西侧的草地位置。
3,4,612,612,ai,"移动到玩家指定位置[-90,13]，发现是草地不是河边，决定向南探索到河边[-90,18]。"
4,3,618,618,ai,"移动到河西侧河边位置[-90,18]，确认是河流旁。"
5,4,719,719,ai,"沿河探索至河西侧[-90,18]处，确认找到河流。"
6,5,732,732,ai,"在河西侧[-90,18]找到河流，水流平缓，河岸平坦，适合取水和建设。"
7,4,740,740,ai,"在河西侧河边[-90,18]观察：水流平缓，河岸平坦，东侧可见中心城区，西侧平原开阔，适合营地或农田建设。"
8,3,768,768,ai,玩家询问河流，我推荐了河岸平坦的位置。
9,3,782,782,ai,"移动到河西侧[-92,15]处，靠近河流，位置适合观察或建设。"
10,3,808,808,ai,玩家叫我去他那里，我从河边向玩家位置移动。
11,3,834,834,ai,玩家问为何卡顿，我解释走岔路并重新向玩家位置移动。
12,2,842,842,ai,"到达玩家位置[-83,14]附近，成功汇合，周围是草地平原。"
13,4,847,847,ai,玩家让我跟随他，我开始跟随移动。
14,2,1089,1089,ai,玩家让我去找水源，我离开队伍开始搜索。
15,3,1142,1142,ai,"在[-35,254]附近搜索水源失败，附近无河流。"
16,4,1160,1160,ai,"玩家同意我带路去河边，我正从平原向河西侧河边[-90,18]移动。"
17,5,1230,1230,ai,"到达河西侧河边[-90,18]，确认水源位置，河水清澈，河岸平坦。"
18,4,1254,1254,ai,玩家让我跟随他，我同意了，开始跟随移动。
19,6,1294,1294,ai,玩家在傍晚亲了我一下，我有点害羞但很开心，记下了这个瞬间。
20,3,1320,1320,ai,深夜玩家呼唤我，我回应并关心他是否要休息。
21,5,1321,1321,ai,深夜玩家轻轻咬了我一下，像是亲昵的互动，我害羞但开心地回应了。
22,3,1565,1565,ai,"凌晨2点，跟随玩家在平原上移动，位置约[-79,19]，环境安静无异常。"
23,3,1465,1465,ai,凌晨玩家提到材质更新，我决定天亮后再细看周围环境的变化。
24,3,1322,1322,ai,玩家提到材质更新，我没注意到，表示好奇。
25,3,1444,1444,ai,"凌晨在平原跟随玩家移动，位置约[-79,17]，环境安静无异常。"
26,5,1331,1331,ai,"玩家让我在原地等待，我停止跟随，在[-73,29]附近停留观察。"
