id,priority,created_game_minutes,last_seen_game_minutes,source,summary
1,5,516,516,ai,玩家叫悠过去，悠回应并跟随。
5,3,749,749,ai,悠向南探索未发现河流，决定转向向东寻找。
6,5,790,790,ai,悠向东移动，继续寻找河流。
7,5,847,847,ai,悠继续向东探索寻找河流。
8,4,907,907,ai,向东探索未发现河流，回到玩家身边。
9,4,966,966,ai,悠回到玩家身边，提议换方向探索河流。
10,3,1089,1089,ai,天黑暂停探索，计划明天换方向找河。
11,3,1156,1156,ai,天黑，跟随玩家在附近休息，计划明天继续找河。
12,3,1209,1209,ai,天黑和玩家一起休息，计划明天继续寻找河流。
13,4,492,492,ai,玩家叫悠跟随，悠开始跟随玩家。
14,5,519,519,ai,玩家再次要求寻找河流，悠决定向北方搜索。
15,5,623,623,ai,回到玩家身边，计划继续向北寻找河流。
16,3,655,655,ai,玩家让我别跟着他。
17,3,670,670,ai,悠决定向西北方向探索寻找河流。
18,3,731,731,ai,悠决定向西探索河流。
19,5,796,796,ai,悠在西边发现了河流。
20,6,841,841,ai,玩家提到掉血，我担心他并前往查看。
21,5,874,874,ai,玩家砍了我一刀，可能对我有敌意。
22,6,492,492,ai,玩家主动打招呼，我在西河岸回应并保持距离探索。
23,7,505,505,ai,被玩家攻击后，我向西撤退并继续探索，保持距离。
24,4,531,531,ai,在市区东部游荡，确认周围全是城市地板，没有草地或河流。
25,5,542,542,ai,"到达坐标(5,8)附近，地形为草地和plain，东侧有城市边界。"
26,5,548,548,ai,玩家让我去他那里，我决定前往并开启跟随。
27,6,574,574,ai,"在(8,8)附近发现草地与城市边界交界处，记录地形。"
28,5,582,582,ai,"抵达(-69,15)附近草地与城市边界，发现玩家也在附近。"
29,1,592,592,ai,在西侧完成一次游荡，附近有河流和草地，继续向西探索。
30,8,603,603,ai,玩家对我说'先省点劲吧'，我选择停下等待，观察他的下一步。
31,5,729,729,ai,在西侧河岸草地交界处继续向西探索，记录地形并保持警惕。
32,5,750,750,ai,在西侧河岸附近的草地完成一次游荡，发现河流和草地交界处。
33,5,788,788,ai,"在(-72,26)附近开始向西探索河岸与草地交界处。"
34,6,818,818,ai,"在(-67,13)完成游荡，看到玩家在(-71,33)，决定主动靠近并提议一起探索西侧河岸。"
35,3,497,497,ai,玩家对我做了咬的动作，我用温和语气回应试探意图。
36,5,543,543,ai,"当前在(32,24)城市地板区域，玩家在远处(-416,128)，没有特殊事件。"
37,7,591,591,ai,玩家叫我过去，我正前往他所在位置。
38,7,623,623,ai,"完成靠近玩家，到达(-81,15)，玩家在(-81,16)。"
39,6,725,725,ai,玩家说'你踩我身上了'，我道歉并移开一格。
40,7,731,731,ai,"移动到玩家身边(-63,30)，玩家在(-64,31)，主动提议探索河岸建家点。"
41,7,493,493,ai,玩家叫我'跟我来'，我跟随他行动。
42,7,522,522,ai,玩家说'去水里'，我开始朝水方向搜索。
43,7,534,534,ai,"搜索水源成功，发现河流在(-51,11)附近。"
44,9,541,541,ai,"成功找到河流，位置(-51,11)，河岸附近有草地和平地，适合建家。"
45,8,582,582,ai,玩家说'你话太多了'，我需要少说话，安静等待。
46,3,607,607,ai,"自动感知：我在(-51,11)河边，玩家在(-57,7)附近。保持安静等待。"
47,8,737,737,ai,"沿河(-51,11)找到水源，河岸有草地和平地可供建家，已告知玩家位置。"
