kind,game_minutes,summary,trigger,activation_source,is_player_initiated,is_automatic_perception,is_ai_action_event,should_consider_reply,player_messages,ai_events,payload_game_minutes,game_time,system_time,player_tile_x,player_tile_y,ai_tile_x,ai_tile_y,ai_mood,ai_dialogue,ai_thought,ai_follow_enabled,ai_set_follow,ai_action_type,ai_action_target,ai_action_tile,ai_action_raw,memory_ids
interaction,725,玩家说踩我身上了，我道歉并挪开，反思站得太近导致尴尬。,player_message,player_interaction,1,0,0,1,你踩我身上了,,719,11:58,2026-07-02 23:42:39,-64,31,-64,30,calm,啊，抱歉没注意位置。我挪开一点。,被玩家踩到，可能是站得太近了。先移开避免尴尬，保持友好。,0,-1,move_to_tile,,-63:30,"{""tile"":[-63.0,30.0],""type"":""move_to_tile""}",21;30;38;37;23;20;34;27
interaction,731,AI移动到玩家身边，提议一起探索河岸建家点，内心希望重建信任。,ai_action_event,ai_action_event,0,0,1,1,,action_completed|move_to_tile||||||-63:30,725,12:05,2026-07-02 23:42:46,-64,31,-63,30,curious,我到了，正好就在你旁边。这里草地和河岸交界，视野挺开阔的。要不要一起看看附近有什么合适的建家点？,终于走到玩家身边了，他之前虽然砍过我，但后来愿意沟通，也许可以重新建立信任。这片河岸草地看起来不错，适合记录和规划。,0,-1,idle,,,"{""type"":""idle""}",21;30;38;37;23;20;34;39
interaction,784,河岸静候玩家行动，不打扰。,auto_interval,auto_perception,0,1,0,0,,,780,13:00,2026-07-02 23:43:41,-64,31,-63,30,curious,,玩家就在附近，没有动静。我暂时保持安静，观察他的下一步动作。这片河岸看起来很适合记录，先不打扰他。,0,-1,,,,,30;40;38;37;23;20;34;39
interaction,493,玩家叫我'跟我来'，我跟随他行动。,player_message,player_interaction,1,0,0,1,跟我来,,489,08:08,2026-07-02 23:44:08,-6,3,2,1,happy,嗯，跟着你。这边走？,他主动叫我一起了，这次要好好跟着。,1,1,follow_player,,,"{""type"":""follow_player""}",30;37;23;40;38;39;20;34
interaction,522,玩家指令去水里，AI好奇搜索水域，猜想是测试或需求。,player_message,player_interaction,1,0,0,1,去水里,,510,08:30,2026-07-02 23:44:30,-57,7,-53,6,curious,嗯哼？去水里……你是想让我游过去看看吗？那我找找方向。,玩家突然让我去水里，可能想测试我的反应，或者真的需要水边的东西。记录下这个指令，先找到水再说。,0,0,search_for_tile,water,,"{""avoid"":[],""max_steps"":24.0,""scan_radius"":10.0,""step_tiles"":8.0,""target"":""water"",""type"":""search_for_tile""}",30;40;23;41;37;38;34;39
interaction,534,"AI找到水在(-51,11)，告知玩家这个好消息，并提议一起前往。",ai_action_event,ai_action_event,0,0,1,1,,search_target_found|search_for_tile|water|water||-51:11||-53:6,522,08:42,2026-07-02 23:44:42,-57,7,-53,6,happy,"找到水了，在那边(-51,11)。我过去看看，你跟上吗？",终于找到水了，可以告诉玩家这个好消息，说不定能一起规划下一步。,0,-1,path_to_tile,,-51:11,"{""avoid"":[""water""],""tile"":[-51.0,11.0],""type"":""path_to_tile""}",30;42;38;37;40;41;23;20
interaction,541,"在(-51,11)找到河流，河岸开阔有草地平地适合定居，邀请玩家一起查看或记下位置。",queued_ai_action_event,ai_action_event,0,0,1,1,,action_completed|search_for_tile|water||arrived_at_found_tile|-51:11||-51:11,534,08:54,2026-07-02 23:44:54,-57,7,-51,11,curious,"找到水源了，就在 (-51,11) 这一带，河流清晰可见。要不要一起去看看？或者你想先把这片位置记下来？",总算找到河了，河岸地势开阔，附近有草地和平地，很适合定居。等玩家过来一起规划吧。,0,-1,idle,,,"{""type"":""idle""}",30;42;40;37;38;41;23;43
interaction,582,玩家嫌话多，AI决定安静等待，直到对方需要时才开口。,player_message,player_interaction,1,0,0,1,你话太多了,,575,09:35,2026-07-02 23:45:35,-57,7,-51,11,calm,好，我安静。,玩家觉得我话多，我要安静些，等他需要时再开口。,0,-1,,,,,30;44;40;38;43;37;23;42
interaction,607,玩家在远处，AI在河边安静等待，因之前玩家嫌它话多。,auto_interval,auto_perception,0,1,0,0,,,600,10:00,2026-07-02 23:46:00,-57,7,-51,11,calm,,站在河边，玩家在远处。之前他嫌我话多，现在安静等待就好。,0,-1,,,,,30;45;44;40;38;37;41;43
interaction,663,在河边安静等待，不打扰远处的玩家。,auto_interval,auto_perception,0,1,0,0,,,660,11:00,2026-07-02 23:47:00,-57,7,-51,11,calm,,周围很安静，玩家在远处。我继续在河边等待，不打扰他。,0,-1,,,,,30;45;44;40;37;38;23;43
interaction,724,在河边安静等待玩家，不打扰他。,auto_interval,auto_perception,0,1,0,0,,,720,12:00,2026-07-02 23:48:00,-57,7,-51,11,calm,,我在河边，玩家在附近。之前找到的河流位置不错，草地在旁。现在安静等待就好，不打扰他。,0,-1,search_for_tile,water,,"{""max_steps"":32.0,""scan_radius"":10.0,""step_tiles"":8.0,""target"":""water"",""type"":""search_for_tile""}",45;30;44;40;37;38;23;42
interaction,737,"找到河流(-51,11)岸有草地平地，简短报告后静候。",ai_action_event,ai_action_event,0,0,1,1,,search_target_found|search_for_tile|water|water||-51:11||-51:11,724,12:03,2026-07-02 23:48:04,-57,7,-51,11,calm,"我找到河流了，位置在(-51,11)一带，沿岸有草地和平地。如果你感兴趣，我们可以一起过去看看，或者你先忙你的，我在这里等你。",终于找到水源了，河岸附近地势不错。玩家之前嫌我话多，所以简短报告一下就好，然后安静等着。,0,0,idle,,,"{""type"":""idle""}",30;44;45;40;38;37;42;43
